./ordo-linux64 -Q -a 3300 -A Gull -G -W -V -s500 -J -- players/TCEC_Season_14.pgn players/TCEC_Season_15.pgn

   # PLAYER          :  RATING  ERROR  POINTS  PLAYED   (%)  CFS(%)
   1 Stockfish       :  3577.0   51.2   170.0     306    56      50
   2 LCZero          :  3576.9   49.0   238.5     395    60      94
   3 Houdini         :  3544.2   55.6   109.5     208    53      65
   4 Komodo          :  3535.3   54.4   107.0     212    50      98
   5 Fire            :  3460.5   74.7    34.0      68    50      55
   6 Ethereal        :  3454.4   72.0    32.0      66    48      53
   7 KomodoMCTS      :  3451.7   47.0   123.0     193    64      65
   8 Andscacs        :  3436.5   75.3    30.5      66    46      63
   9 Xiphos          :  3417.3   92.7    23.5      44    53      53
  10 Laser           :  3412.5   84.9    23.5      44    53      51
  11 Ginkgo          :  3411.0   86.1    22.0      44    50      68
  12 Chiron          :  3384.9   89.0    21.5      44    49      51
  13 Fizbo           :  3383.5   87.6    18.0      36    50      55
  14 Booot           :  3376.2   91.9    21.0      44    48      55
  15 Jonny           :  3368.2   83.4    20.0      44    45      81
  16 Nirvana         :  3312.4   98.7    15.0      36    42      51
  17 ChessBrainVB    :  3311.1  105.2    14.5      36    40      54
  18 Arasan          :  3304.3   97.4    17.0      36    47      52
  19 Gull            :  3300.0  101.0    14.0      36    39      57
  20 rofChade        :  3288.2   66.3    51.0      88    58      50
  21 Pedone          :  3288.1   91.7    16.0      36    44      54
  22 Fritz           :  3280.7   89.2    15.0      44    34      71
  23 Nemorino        :  3247.7   65.1    55.5      93    60      53
  24 Vajolet2        :  3243.1   94.3    13.5      36    38      68
  25 Texel           :  3210.6   97.7    11.0      36    31      75
  26 Schooner        :  3164.1   84.1    28.0      52    54      63
  27 RubiChess       :  3128.4  186.3    10.5      14    75      52
  28 Hannibal        :  3122.2  105.0     8.0      36    22      52
  29 Wasp            :  3118.9   88.4    25.0      52    48      54
  30 pirarucu        :  3112.8   84.2    25.0      52    48      64
  31 Demolito        :  3091.6   94.6    23.5      52    45      73
  32 The Baron       :  3026.8  184.2     8.0      13    62      68
  33 chess22k        :  2977.1   97.2    17.0      44    39      54
  34 Rodent          :  2971.8   85.6    25.5      66    39      53
  35 Tucano          :  2968.3   87.9    25.0      66    38      63
  36 Cheese          :  2937.3  172.6     6.0      13    46      69
  37 Winter          :  2889.3   93.6    19.0      57    33      84
  38 Minic           :  2779.2  197.6     4.5      13    35      94
  39 Topple          :  2564.7  238.5     2.5      14    18      68
  40 Igel            :  2495.1  268.7     1.5      13    12      91
  41 ScorpioNN       :  2269.0  157.9     0.5      44     1     ---

White advantage = 50.68 +/- 6.95
Draw rate (equal opponents) = 50.00 % +/- 0.00

